timestamp,session,Adj Close,Close,High,Low,Open,Volume,event_before,exact_event,event_after
2022-12-29 08:00:00-05:00,US Open 7-10 ET,112.28125,112.28125,112.4375,112.1875,112.234375,75657.0,API Crude Oil Stock Change DEC/23,,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24"
2022-12-29 09:00:00-05:00,US Open 7-10 ET,112.390625,112.390625,112.40625,112.15625,112.28125,92756.0,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24",,EIA Natural Gas Stocks Change DEC/23
2022-12-29 10:00:00-05:00,US Mid 10-15 ET,112.296875,112.296875,112.390625,112.21875,112.390625,76753.0,"Initial Jobless Claims DEC/24, Continuing Jobless Claims DEC/17, Jobless Claims 4-week Average DEC/24",,EIA Natural Gas Stocks Change DEC/23
2022-12-29 11:00:00-05:00,US Mid 10-15 ET,112.453125,112.453125,112.46875,112.28125,112.296875,76400.0,"EIA Crude Oil Stocks Change DEC/23, EIA Gasoline Stocks Change DEC/23, EIA Crude Oil Imports Change DEC/23, EIA Cushing Crude Oil Stocks Change DEC/23, EIA Distillate Fuel Production Change DEC/23, EIA Distillate Stocks Change DEC/23, EIA Gasoline Production Change DEC/23, EIA Heating Oil Stocks Change DEC/23, EIA Refinery Crude Runs Change DEC/23",,"4-Week Bill Auction, 8-Week Bill Auction"
2022-12-29 12:00:00-05:00,US Mid 10-15 ET,112.46875,112.46875,112.515625,112.421875,112.453125,64744.0,"4-Week Bill Auction, 8-Week Bill Auction",,7-Year Note Auction
2022-12-29 13:00:00-05:00,US Mid 10-15 ET,112.46875,112.46875,112.546875,112.375,112.453125,79933.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 14:00:00-05:00,US Mid 10-15 ET,112.453125,112.453125,112.484375,112.390625,112.46875,57227.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 15:00:00-05:00,US Close 15-17 ET,112.453125,112.453125,112.484375,112.390625,112.4375,47985.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 16:00:00-05:00,US Close 15-17 ET,112.515625,112.515625,112.5625,112.453125,112.453125,25541.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 18:00:00-05:00,Asia 18-24 ET,112.5,112.5,112.515625,112.46875,112.5,0.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 19:00:00-05:00,Asia 18-24 ET,112.5,112.5,112.515625,112.453125,112.5,5381.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 20:00:00-05:00,Asia 18-24 ET,112.484375,112.484375,112.515625,112.453125,112.5,5239.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 21:00:00-05:00,Asia 18-24 ET,112.453125,112.453125,112.5,112.453125,112.484375,5384.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 22:00:00-05:00,Asia 18-24 ET,112.4375,112.4375,112.46875,112.4375,112.46875,2214.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-29 23:00:00-05:00,Asia 18-24 ET,112.4375,112.4375,112.453125,112.421875,112.4375,3637.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 00:00:00-05:00,London 0-7 ET,112.390625,112.390625,112.46875,112.375,112.453125,8053.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 01:00:00-05:00,London 0-7 ET,112.40625,112.40625,112.421875,112.375,112.390625,3834.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 02:00:00-05:00,London 0-7 ET,112.46875,112.46875,112.46875,112.375,112.40625,10750.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 03:00:00-05:00,London 0-7 ET,112.296875,112.296875,112.46875,112.28125,112.46875,23712.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 04:00:00-05:00,London 0-7 ET,112.296875,112.296875,112.34375,112.234375,112.3125,18050.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 05:00:00-05:00,London 0-7 ET,112.265625,112.265625,112.3125,112.234375,112.296875,19128.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 06:00:00-05:00,London 0-7 ET,112.265625,112.265625,112.296875,112.25,112.28125,10321.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 07:00:00-05:00,US Open 7-10 ET,112.28125,112.28125,112.359375,112.234375,112.28125,22829.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 08:00:00-05:00,US Open 7-10 ET,112.109375,112.109375,112.28125,112.0625,112.28125,98027.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 09:00:00-05:00,US Open 7-10 ET,112.0,112.0,112.21875,111.984375,112.09375,92534.0,7-Year Note Auction,,Chicago PMI DEC
2022-12-30 10:00:00-05:00,US Mid 10-15 ET,112.0625,112.0625,112.09375,111.875,112.015625,120903.0,Chicago PMI DEC,,"Baker Hughes Oil Rig Count DEC/30, Baker Hughes Total Rig Count DEC/30"
2022-12-30 11:00:00-05:00,US Mid 10-15 ET,112.03125,112.03125,112.078125,111.953125,112.078125,83711.0,Chicago PMI DEC,,"Baker Hughes Oil Rig Count DEC/30, Baker Hughes Total Rig Count DEC/30"
2022-12-30 12:00:00-05:00,US Mid 10-15 ET,112.40625,112.40625,112.4375,111.90625,112.015625,349348.0,Chicago PMI DEC,,"Baker Hughes Oil Rig Count DEC/30, Baker Hughes Total Rig Count DEC/30"
2022-12-30 13:00:00-05:00,US Mid 10-15 ET,112.109375,112.109375,112.484375,112.0625,112.40625,284761.0,"Baker Hughes Oil Rig Count DEC/30, Baker Hughes Total Rig Count DEC/30",,S&P Global Manufacturing PMI Final DEC
2022-12-30 14:00:00-05:00,US Mid 10-15 ET,112.09375,112.09375,112.125,112.0625,112.09375,29930.0,"Baker Hughes Oil Rig Count DEC/30, Baker Hughes Total Rig Count DEC/30",,S&P Global Manufacturing PMI Final DEC
