Datetime,Adj Close,Close,High,Low,Open,Volume,US/Eastern Timezone
2018-02-21,158.51,158.51,158.85,158.17,158.41,675.67K,2018-02-21 18:59:59-05:00
2018-02-22,158.76,158.76,158.85,158.18,158.24,630.34K,2018-02-22 18:59:59-05:00
2018-02-23,159.48,159.48,159.66,158.68,158.68,777.96K,2018-02-23 18:59:59-05:00
2018-02-26,159.56,159.56,159.67,159.25,159.65,678.75K,2018-02-26 18:59:59-05:00
2018-02-27,159.2,159.2,159.51,159.05,159.45,813.66K,2018-02-27 18:59:59-05:00
2018-02-28,159.44,159.44,159.52,159.03,159.24,701.49K,2018-02-28 18:59:59-05:00
2018-03-01,159.7,159.7,160.09,159.44,159.45,959.07K,2018-03-01 18:59:59-05:00
2018-03-02,159.77,159.77,160.21,159.58,159.9,912.66K,2018-03-02 18:59:59-05:00
2018-03-05,159.88,159.88,160.38,159.41,160.0,1.50M,2018-03-05 18:59:59-05:00
2018-03-06,159.25,159.25,159.74,158.89,159.54,1.62M,2018-03-06 18:59:59-05:00
2018-03-07,159.43,159.43,159.63,159.26,159.43,357.29K,2018-03-07 18:59:59-05:00
2018-03-08,159.36,159.36,159.56,159.32,159.4,12.68K,2018-03-08 18:59:59-05:00
2018-03-09,156.98,156.98,157.25,156.88,157.15,527.88K,2018-03-09 18:59:59-05:00
2018-03-12,157.27,157.27,157.36,156.91,157.0,440.19K,2018-03-12 19:59:59-04:00
2018-03-13,157.47,157.47,157.61,157.17,157.25,682.43K,2018-03-13 19:59:59-04:00
2018-03-14,157.94,157.94,157.97,157.34,157.62,674.07K,2018-03-14 19:59:59-04:00
2018-03-15,158.14,158.14,158.24,157.81,157.85,606.43K,2018-03-15 19:59:59-04:00
2018-03-16,158.19,158.19,158.35,157.98,158.24,466.02K,2018-03-16 19:59:59-04:00
2018-03-19,158.23,158.23,158.3,157.67,158.16,655.36K,2018-03-19 19:59:59-04:00
2018-03-20,158.06,158.06,158.17,157.91,158.12,501.56K,2018-03-20 19:59:59-04:00
